username,repo_name,stars,repo_url
mrdoob,three.js,96700,https://github.com/mrdoob/three.js
pmndrs,react-three-fiber,24900,https://github.com/pmndrs/react-three-fiber
libgdx,libgdx,22300,https://github.com/libgdx/libgdx
BabylonJS,Babylon.js,21900,https://github.com/BabylonJS/Babylon.js
ssloy,tinyrenderer,18600,https://github.com/ssloy/tinyrenderer
lettier,3d-game-shaders-for-beginners,16500,https://github.com/lettier/3d-game-shaders-for-beginners
FreeCAD,FreeCAD,16200,https://github.com/FreeCAD/FreeCAD
aframevr,aframe,15900,https://github.com/aframevr/aframe
CesiumGS,cesium,11400,https://github.com/CesiumGS/cesium
blender,blender,10500,https://github.com/blender/blender
MonoGame,MonoGame,10500,https://github.com/MonoGame/MonoGame
metafizzy,zdog,10100,https://github.com/metafizzy/zdog
isl-org,Open3D,9900,https://github.com/isl-org/Open3D
timzhang642,3D-Machine-Learning,9300,https://github.com/timzhang642/3D-Machine-Learning
a1studmuffin,SpaceshipGenerator,7500,https://github.com/a1studmuffin/SpaceshipGenerator
nerfstudio-project,nerfstudio,7400,https://github.com/nerfstudio-project/nerfstudio
domlysz,BlenderGIS,7000,https://github.com/domlysz/BlenderGIS
FyroxEngine,Fyrox,6900,https://github.com/FyroxEngine/Fyrox
google,model-viewer,6200,https://github.com/google/model-viewer
openscad,openscad,6100,https://github.com/openscad/openscad
