username,repo_name,stars,repo_url
public-apis,public-apis,274000,https://github.com/public-apis/public-apis
neovim,neovim,72400,https://github.com/neovim/neovim
tiangolo,fastapi,66600,https://github.com/tiangolo/fastapi
strapi,strapi,58100,https://github.com/strapi/strapi
hoppscotch,hoppscotch,57800,https://github.com/hoppscotch/hoppscotch
ocornut,imgui,52900,https://github.com/ocornut/imgui
slatedocs,slate,35700,https://github.com/slatedocs/slate
Kong,insomnia,31900,https://github.com/Kong/insomnia
trpc,trpc,30700,https://github.com/trpc/trpc
httpie,cli,30700,https://github.com/httpie/cli
hasura,graphql-engine,30600,https://github.com/hasura/graphql-engine
Binaryify,NeteaseCloudMusicApi,30000,https://github.com/Binaryify/NeteaseCloudMusicApi
ccxt,ccxt,30000,https://github.com/ccxt/ccxt
encode,django-rest-framework,26900,https://github.com/encode/django-rest-framework
StanGirard,quivr,26800,https://github.com/StanGirard/quivr
YMFE,yapi,26800,https://github.com/YMFE/yapi
littlecodersh,ItChat,24600,https://github.com/littlecodersh/ItChat
directus,directus,24200,https://github.com/directus/directus
microsoft,api-guidelines,22200,https://github.com/microsoft/api-guidelines
shieldfy,API-Security-Checklist,21700,https://github.com/shieldfy/API-Security-Checklist
