username,repo_name,stars,repo_url
bitwarden,server,13800.0,https://github.com/bitwarden/server
dotnet,AspNetCore.Docs,12100.0,https://github.com/dotnet/AspNetCore.Docs
abpframework,abp,11900.0,https://github.com/abpframework/abp
aspnetboilerplate,aspnetboilerplate,11400.0,https://github.com/aspnetboilerplate/aspnetboilerplate
nopSolutions,nopCommerce,8700.0,https://github.com/nopSolutions/nopCommerce
ElectronNET,Electron.NET,7000.0,https://github.com/ElectronNET/Electron.NET
thangchung,clean-code-dotnet,6600.0,https://github.com/thangchung/clean-code-dotnet
RicoSuter,NSwag,6300.0,https://github.com/RicoSuter/NSwag
FastEndpoints,FastEndpoints,3500.0,https://github.com/FastEndpoints/FastEndpoints
dotnet,aspnet-api-versioning,2900.0,https://github.com/dotnet/aspnet-api-versioning
smartstore,SmartStoreNET,2600.0,https://github.com/smartstore/SmartStoreNET
serenity-is,Serenity,2500.0,https://github.com/serenity-is/Serenity
mjebrahimi,Awesome-Microservices-DotNet,2500.0,https://github.com/mjebrahimi/Awesome-Microservices-DotNet
JimBobSquarePants,ImageProcessor,2500.0,https://github.com/JimBobSquarePants/ImageProcessor
loic-sharma,BaGet,2400.0,https://github.com/loic-sharma/BaGet
TrilonIO,aspnetcore-angular-universal,1500.0,https://github.com/TrilonIO/aspnetcore-angular-universal
TrilonIO,aspnetcore-Vue-starter,1200.0,https://github.com/TrilonIO/aspnetcore-Vue-starter
MarimerLLC,csla,1200.0,https://github.com/MarimerLLC/csla
smartstore,Smartstore,,https://github.com/smartstore/Smartstore
antonioCoco,SharPyShell,,https://github.com/antonioCoco/SharPyShell
