username,repo_name,stars,repo_url
jwasham,coding-interview-university,275000,https://github.com/jwasham/coding-interview-university
trekhleb,javascript-algorithms,179000,https://github.com/trekhleb/javascript-algorithms
TheAlgorithms,Python,174000,https://github.com/TheAlgorithms/Python
CyC2018,CS-Notes,170000,https://github.com/CyC2018/CS-Notes
yangshun,tech-interview-handbook,104000,https://github.com/yangshun/tech-interview-handbook
kdn251,interviews,60800,https://github.com/kdn251/interviews
krahets,hello-algo,58000,https://github.com/krahets/hello-algo
TheAlgorithms,Java,55200,https://github.com/TheAlgorithms/Java
azl397985856,leetcode,53100,https://github.com/azl397985856/leetcode
algorithm-visualizer,algorithm-visualizer,45600,https://github.com/algorithm-visualizer/algorithm-visualizer
youngyangyang04,leetcode-master,44400,https://github.com/youngyangyang04/leetcode-master
huihut,interview,31600,https://github.com/huihut/interview
halfrost,LeetCode-Go,31200,https://github.com/halfrost/LeetCode-Go
TheAlgorithms,JavaScript,30200,https://github.com/TheAlgorithms/JavaScript
donnemartin,interactive-coding-challenges,28300,https://github.com/donnemartin/interactive-coding-challenges
TheAlgorithms,C-Plus-Plus,28000,https://github.com/TheAlgorithms/C-Plus-Plus
crossoverJie,JCSprout,27000,https://github.com/crossoverJie/JCSprout
keon,algorithms,23300,https://github.com/keon/algorithms
mxgmn,WaveFunctionCollapse,22300,https://github.com/mxgmn/WaveFunctionCollapse
trekhleb,homemade-machine-learning,22200,https://github.com/trekhleb/homemade-machine-learning
