username,repo_name,stars,repo_url
flutter,flutter,159000,https://github.com/flutter/flutter
facebook,react-native,114000,https://github.com/facebook/react-native
justjavac,free-programming-books-zh_CN,107000,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,96400,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,73000,https://github.com/Hack-with-Github/Awesome-Hacking
Solido,awesome-flutter,49700,https://github.com/Solido/awesome-flutter
google,material-design-icons,49200,https://github.com/google/material-design-icons
wasabeef,awesome-android-ui,48200,https://github.com/wasabeef/awesome-android-ui
square,okhttp,44900,https://github.com/square/okhttp
android,architecture-samples,43400,https://github.com/android/architecture-samples
square,retrofit,42300,https://github.com/square/retrofit
laurent22,joplin,40200,https://github.com/laurent22/joplin
dcloudio,uni-app,39000,https://github.com/dcloudio/uni-app
appwrite,appwrite,38700,https://github.com/appwrite/appwrite
fastlane,fastlane,38300,https://github.com/fastlane/fastlane
skylot,jadx,37700,https://github.com/skylot/jadx
PhilJay,MPAndroidChart,37100,https://github.com/PhilJay/MPAndroidChart
airbnb,lottie-android,34400,https://github.com/airbnb/lottie-android
shadowsocks,shadowsocks-android,34400,https://github.com/shadowsocks/shadowsocks-android
bumptech,glide,34100,https://github.com/bumptech/glide
