username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,107000,https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,93100,https://github.com/angular/angular
storybookjs,storybook,81400,https://github.com/storybookjs/storybook
leonardomso,33-js-concepts,60200,https://github.com/leonardomso/33-js-concepts
ionic-team,ionic-framework,49900,https://github.com/ionic-team/ionic-framework
prettier,prettier,47600,https://github.com/prettier/prettier
Asabeneh,30-Days-Of-JavaScript,39800,https://github.com/Asabeneh/30-Days-Of-JavaScript
SheetJS,sheetjs,34100,https://github.com/SheetJS/sheetjs
angular,angular-cli,26400,https://github.com/angular/angular-cli
angular,components,23900,https://github.com/angular/components
NativeScript,NativeScript,23300,https://github.com/NativeScript/NativeScript
goldbergyoni,javascript-testing-best-practices,22900,https://github.com/goldbergyoni/javascript-testing-best-practices
jhipster,generator-jhipster,21100,https://github.com/jhipster/generator-jhipster
nrwl,nx,20700,https://github.com/nrwl/nx
wailsapp,wails,20100,https://github.com/wailsapp/wails
pubkey,rxdb,20000,https://github.com/pubkey/rxdb
sudheerj,javascript-interview-questions,19900,https://github.com/sudheerj/javascript-interview-questions
teambit,bit,17200,https://github.com/teambit/bit
sweetalert2,sweetalert2,16500,https://github.com/sweetalert2/sweetalert2
jasontaylordev,CleanArchitecture,14600,https://github.com/jasontaylordev/CleanArchitecture
