username,repo_name,stars,repo_url
sindresorhus,awesome,284000,https://github.com/sindresorhus/awesome
vinta,awesome-python,193000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,164000,https://github.com/awesome-selfhosted/awesome-selfhosted
trimstray,the-book-of-secret-knowledge,118000,https://github.com/trimstray/the-book-of-secret-knowledge
avelino,awesome-go,114000,https://github.com/avelino/awesome-go
521xueweihan,HelloGitHub,80600,https://github.com/521xueweihan/HelloGitHub
papers-we-love,papers-we-love,79900,https://github.com/papers-we-love/papers-we-love
Hack-with-Github,Awesome-Hacking,73000,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,67400,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,61600,https://github.com/DopplerHQ/awesome-interview-questions
MunGell,awesome-for-beginners,60200,https://github.com/MunGell/awesome-for-beginners
enaqx,awesome-react,60100,https://github.com/enaqx/awesome-react
sindresorhus,awesome-nodejs,54300,https://github.com/sindresorhus/awesome-nodejs
fffaraz,awesome-cpp,52500,https://github.com/fffaraz/awesome-cpp
prakhar1989,awesome-courses,51700,https://github.com/prakhar1989/awesome-courses
binhnguyennus,awesome-scalability,50400,https://github.com/binhnguyennus/awesome-scalability
Solido,awesome-flutter,49700,https://github.com/Solido/awesome-flutter
wasabeef,awesome-android-ui,48200,https://github.com/wasabeef/awesome-android-ui
vsouza,awesome-ios,44800,https://github.com/vsouza/awesome-ios
tiimgreen,github-cheat-sheet,43900,https://github.com/tiimgreen/github-cheat-sheet
