username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,143000,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,72800,https://github.com/nvm-sh/nvm
junegunn,fzf,56500,https://github.com/junegunn/fzf
google,zx,39300,https://github.com/google/zx
starship,starship,38400,https://github.com/starship/starship
LeCoupa,awesome-cheatsheets,35800,https://github.com/LeCoupa/awesome-cheatsheets
dylanaraps,pure-bash-bible,35400,https://github.com/dylanaraps/pure-bash-bible
acmesh-official,acme.sh,34700,https://github.com/acmesh-official/acme.sh
koalaman,shellcheck,34100,https://github.com/koalaman/shellcheck
alebcay,awesome-shell,29700,https://github.com/alebcay/awesome-shell
mathiasbynens,dotfiles,29500,https://github.com/mathiasbynens/dotfiles
jaywcjlove,linux-command,26700,https://github.com/jaywcjlove/linux-command
withfig,autocomplete,23700,https://github.com/withfig/autocomplete
dylanaraps,neofetch,19500,https://github.com/dylanaraps/neofetch
asdf-vm,asdf,19400,https://github.com/asdf-vm/asdf
kingToolbox,WindTerm,18300,https://github.com/kingToolbox/WindTerm
Nyr,openvpn-install,17900,https://github.com/Nyr/openvpn-install
warpdotdev,Warp,16700,https://github.com/warpdotdev/Warp
charmbracelet,gum,15600,https://github.com/charmbracelet/gum
rbenv,rbenv,15500,https://github.com/rbenv/rbenv
