username,repo_name,stars,repo_url
bitcoin,bitcoin,73100,https://github.com/bitcoin/bitcoin
ccxt,ccxt,30000,https://github.com/ccxt/ccxt
freqtrade,freqtrade,23900,https://github.com/freqtrade/freqtrade
HelloZeroNet,ZeroNet,18100,https://github.com/HelloZeroNet/ZeroNet
solana-labs,solana,11100,https://github.com/solana-labs/solana
bbfamily,abu,10800,https://github.com/bbfamily/abu
askmike,gekko,10000,https://github.com/askmike/gekko
dvf,blockchain,7600,https://github.com/dvf/blockchain
lightningnetwork,lnd,7300,https://github.com/lightningnetwork/lnd
lbryio,lbry-sdk,7200,https://github.com/lbryio/lbry-sdk
spesmilo,electrum,6800,https://github.com/spesmilo/electrum
yeasy,blockchain_guide,6600,https://github.com/yeasy/blockchain_guide
butor,blackbird,5800,https://github.com/butor/blackbird
btcsuite,btcd,5700,https://github.com/btcsuite/btcd
btcpayserver,btcpayserver,5600,https://github.com/btcpayserver/btcpayserver
getumbrel,umbrel,5300,https://github.com/getumbrel/umbrel
bitcoinjs,bitcoinjs-lib,5300,https://github.com/bitcoinjs/bitcoinjs-lib
UFund-Me,Qbot,5100,https://github.com/UFund-Me/Qbot
jesse-ai,jesse,5000,https://github.com/jesse-ai/jesse
anders94,blockchain-demo,5000,https://github.com/anders94/blockchain-demo
