username,repo_name,stars,repo_url
ccxt,ccxt,30000,https://github.com/ccxt/ccxt
StanGirard,quivr,26800,https://github.com/StanGirard/quivr
discordjs,discord.js,24400,https://github.com/discordjs/discord.js
python-telegram-bot,python-telegram-bot,23900,https://github.com/python-telegram-bot/python-telegram-bot
wechaty,wechaty,18000,https://github.com/wechaty/wechaty
RasaHQ,rasa,17400,https://github.com/RasaHQ/rasa
hubotio,hubot,16500,https://github.com/hubotio/hubot
InstaPy,InstaPy,16000,https://github.com/InstaPy/InstaPy
leon-ai,leon,14000,https://github.com/leon-ai/leon
Rapptz,discord.py,13900,https://github.com/Rapptz/discord.py
gunthercox,ChatterBot,13800,https://github.com/gunthercox/ChatterBot
tgbot-collection,YYeTsBot,13700,https://github.com/tgbot-collection/YYeTsBot
pedroslopez,whatsapp-web.js,12600,https://github.com/pedroslopez/whatsapp-web.js
howdyai,botkit,11300,https://github.com/howdyai/botkit
lss233,chatgpt-mirai-qq-bot,10900,https://github.com/lss233/chatgpt-mirai-qq-bot
Mrs4s,go-cqhttp,10000,https://github.com/Mrs4s/go-cqhttp
sfyc23,EverydayWechat,9700,https://github.com/sfyc23/EverydayWechat
yagop,node-telegram-bot-api,7700,https://github.com/yagop/node-telegram-bot-api
microsoft,ailab,7600,https://github.com/microsoft/ailab
telegraf,telegraf,7300,https://github.com/telegraf/telegraf
