username,repo_name,stars,repo_url
CyC2018,CS-Notes,170000,https://github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,147000,https://github.com/practical-tutorials/project-based-learning
azl397985856,leetcode,53100,https://github.com/azl397985856/leetcode
fffaraz,awesome-cpp,52500,https://github.com/fffaraz/awesome-cpp
youngyangyang04,leetcode-master,44400,https://github.com/youngyangyang04/leetcode-master
x64dbg,x64dbg,42400,https://github.com/x64dbg/x64dbg
Light-City,CPlusPlusThings,35100,https://github.com/Light-City/CPlusPlusThings
yuzu-emu,yuzu,32700,https://github.com/yuzu-emu/yuzu
carbon-language,carbon-lang,31800,https://github.com/carbon-language/carbon-lang
huihut,interview,31600,https://github.com/huihut/interview
CMU-Perceptual-Computing-Lab,openpose,29000,https://github.com/CMU-Perceptual-Computing-Lab/openpose
microsoft,calculator,28300,https://github.com/microsoft/calculator
TheAlgorithms,C-Plus-Plus,28000,https://github.com/TheAlgorithms/C-Plus-Plus
doocs,leetcode,26700,https://github.com/doocs/leetcode
changkun,modern-cpp-tutorial,22500,https://github.com/changkun/modern-cpp-tutorial
dragonflydb,dragonfly,22000,https://github.com/dragonflydb/dragonfly
ethereum,solidity,21500,https://github.com/ethereum/solidity
gabime,spdlog,21100,https://github.com/gabime/spdlog
microsoft,vcpkg,20600,https://github.com/microsoft/vcpkg
fmtlib,fmt,18700,https://github.com/fmtlib/fmt
