username,repo_name,stars,repo_url
Genymobile,scrcpy,96400,https://github.com/Genymobile/scrcpy
neovim,neovim,72400,https://github.com/neovim/neovim
obsproject,obs-studio,53300,https://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,52500,https://github.com/fffaraz/awesome-cpp
git,git,48400,https://github.com/git/git
FFmpeg,FFmpeg,40200,https://github.com/FFmpeg/FFmpeg
serhii-londar,open-source-mac-os-apps,38100,https://github.com/serhii-londar/open-source-mac-os-apps
vim,vim,33900,https://github.com/vim/vim
curl,curl,32800,https://github.com/curl/curl
huihut,interview,31600,https://github.com/huihut/interview
ggreer,the_silver_searcher,25400,https://github.com/ggreer/the_silver_searcher
mpv-player,mpv,24700,https://github.com/mpv-player/mpv
ossrs,srs,23400,https://github.com/ossrs/srs
google,flatbuffers,21600,https://github.com/google/flatbuffers
ruby,ruby,21100,https://github.com/ruby/ruby
kovidgoyal,kitty,20800,https://github.com/kovidgoyal/kitty
microsoft,vcpkg,20600,https://github.com/microsoft/vcpkg
radareorg,radare2,19100,https://github.com/radareorg/radare2
hashcat,hashcat,19000,https://github.com/hashcat/hashcat
jarun,nnn,17600,https://github.com/jarun/nnn
