username,repo_name,stars,repo_url
electron,electron,110000,https://github.com/electron/electron
puppeteer,puppeteer,85500,https://github.com/puppeteer/puppeteer
microsoft,playwright,57900,https://github.com/microsoft/playwright
iamadamdev,bypass-paywalls-chrome,44400,https://github.com/iamadamdev/bypass-paywalls-chrome
FiloSottile,mkcert,44100,https://github.com/FiloSottile/mkcert
jaywcjlove,linux-command,26700,https://github.com/jaywcjlove/linux-command
ovity,octotree,22600,https://github.com/ovity/octotree
segment-boneyard,nightmare,19500,https://github.com/segment-boneyard/nightmare
checkly,headless-recorder,14900,https://github.com/checkly/headless-recorder
google,WebFundamentals,13800,https://github.com/google/WebFundamentals
GoogleChrome,chrome-extensions-samples,13600,https://github.com/GoogleChrome/chrome-extensions-samples
schickling,chromeless,13200,https://github.com/schickling/chromeless
gildas-lormeau,SingleFile,12800,https://github.com/gildas-lormeau/SingleFile
casesandberg,react-color,11700,https://github.com/casesandberg/react-color
crimx,ext-saladict,11400,https://github.com/crimx/ext-saladict
MetaMask,metamask-extension,11000,https://github.com/MetaMask/metamask-extension
chromedp,chromedp,9900,https://github.com/chromedp/chromedp
moonD4rk,HackBrowserData,9300,https://github.com/moonD4rk/HackBrowserData
ajayyy,SponsorBlock,8200,https://github.com/ajayyy/SponsorBlock
uBlock-LLC,uBlock,8100,https://github.com/uBlock-LLC/uBlock
