username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,166000,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,56500,https://github.com/junegunn/fzf
sherlock-project,sherlock,46000,https://github.com/sherlock-project/sherlock
sharkdp,bat,44500,https://github.com/sharkdp/bat
BurntSushi,ripgrep,42400,https://github.com/BurntSushi/ripgrep
jesseduffield,lazygit,41300,https://github.com/jesseduffield/lazygit
wagoodman,dive,40000,https://github.com/wagoodman/dive
google,zx,39300,https://github.com/google/zx
chubin,cheat.sh,36800,https://github.com/chubin/cheat.sh
n8n-io,n8n,36600,https://github.com/n8n-io/n8n
spf13,cobra,34700,https://github.com/spf13/cobra
cli,cli,34200,https://github.com/cli/cli
httpie,cli,30700,https://github.com/httpie/cli
sharkdp,fd,30100,https://github.com/sharkdp/fd
alebcay,awesome-shell,29700,https://github.com/alebcay/awesome-shell
ibraheemdev,modern-unix,28900,https://github.com/ibraheemdev/modern-unix
acheong08,ChatGPT,27700,https://github.com/acheong08/ChatGPT
tqdm,tqdm,26800,https://github.com/tqdm/tqdm
angular,angular-cli,26400,https://github.com/angular/angular-cli
google,python-fire,25800,https://github.com/google/python-fire
