username,repo_name,stars,repo_url
vercel,next.js,116000,https://github.com/vercel/next.js
rust-lang,rust,88600,https://github.com/rust-lang/rust
sveltejs,svelte,74700,https://github.com/sveltejs/svelte
webpack,webpack,63800,https://github.com/webpack/webpack
gatsbyjs,gatsby,54900,https://github.com/gatsbyjs/gatsby
JetBrains,kotlin,46600,https://github.com/JetBrains/kotlin
parcel-bundler,parcel,42900,https://github.com/parcel-bundler/parcel
babel,babel,42700,https://github.com/babel/babel
FuelLabs,sway,39600,https://github.com/FuelLabs/sway
evanw,esbuild,36600,https://github.com/evanw/esbuild
vlang,v,35000,https://github.com/vlang/v
carbon-language,carbon-lang,31800,https://github.com/carbon-language/carbon-lang
markedjs,marked,31200,https://github.com/markedjs/marked
swc-project,swc,29200,https://github.com/swc-project/swc
ziglang,zig,27900,https://github.com/ziglang/zig
typst,typst,24600,https://github.com/typst/typst
vercel,pkg,24100,https://github.com/vercel/pkg
v8,v8,22200,https://github.com/v8/v8
oracle,graal,19400,https://github.com/oracle/graal
AssemblyScript,assemblyscript,16200,https://github.com/AssemblyScript/assemblyscript
